,Genre,Map Name,Description,Age Rating,Tags
143,Free For All,COLOR DASH,"A Random Color Is Picked, You Must Race Against Time And Others, In Order To Not Meet Your Demise... The Game Will Become More Difficult Later On... Also Rank Up Your Rank Playing The Mini Modes After Being Eliminated!",Teen / 12,"race, just for fun, deathrun, parkour, "
144,Free For All,OnlyUp Time Travel 🚀,"🌈 10,000+ Meters Up⭐ Rare Secrets to Discover💾 Saves Your Progress💎 Hidden Collectibles",Everyone / 3,"deathrun, parkour, just for fun, escape, "
145,Free For All,🎯RELOAD ONE SHOT SNIPER,💥 One shot gun game🎯 Scope while in the air💯 Reload locations🥇 First to 50 eliminations🤩 Hit trickshots🏆 Be the best in the lobby,Teen / 12,"one shot, sniper, free for all, pvp, "
148,Party Game,CATNAP VS DOGDAY🔴🔵,🔫 New ALL Chapter 5 Season 3 Weapons!🏆 Rank up from Bronze to Unreal🔫Level up your stats!🔥 Have Fun With Friends🔫 All MYTHIC and EXOTIC Weapons📀 10 Gold Coins per Elimination💲 FREE Weapon Mods💪POWERUPS🧠 Made in UEFN,Teen / 12,"team deathmatch, practice, free for all, pvp, "
149,Party Game,RICH TYCOON💰,⭐Become The Richest In The World🏠Build Your Mansion🏎️Drive Supercars💎Hire Diamond Farmers to Work For You🧠MADE IN UEFN,Teen / 12,"tycoon, simulator, just for fun, casual, "
150,Party Game,OnlyUp Chapter 2! 🌌,"OnlyUp Fortnite Chapter 2, with an Altitude Meter and Timer! 🏝️If you fall, you restart from the beginning... 😱Don't fall and reach the top by passing every season of Fortnite Chapter 2! 🏖️",Everyone / 3,"deathrun, adventure, just for fun, parkour, "
152,Party Game,THE PIT - ZEUS [RANKED],🔫 All Weapons [Seasonal and New added]✅ Very Fun Pit with New Powers Added🛠️ Reset Builds Every 7 min📀 10 Coins per Elimination🏆 Ranking System👀 Secrets? A LOT,Teen / 12,"free for all, building, practice, action, "
153,Party Game,Spy Tycoon 🕵️,👑Become the Most Famous Spy🕵️Spy on people and earn income🏘️ Build Your Spy operation base🐶Unlock your spy pet💾 Persistence Data enable!📲Come back where your based is build📲Saves your progress and stats!🧠 Made in Creative 2.0By Clevereen,Teen / 12,"tycoon, simulator, just for fun, casual, "
154,Party Game,🛡️ ARMORED RED VS BLUE 🔴🔵,🔫 ALL new Chapter 5 Season 3 Weapons!🚌 Armored Buses Added!🅿️ Garage on Each Base✅ Fun Red Vs Blue✅ Custom Scoreboard🏛️ Vault With Amazing Items,Teen / 7,"team deathmatch, practice, sandbox, pvp, "
155,Party Game,TREEHOUSE TYCOON🌳,💾2.0🏠 Build Your TREEHOUSE!🗡️ New Usable Weapons!🚗 Unlock CRAZY Cars!🚀 TRY THE LUCKY WHEEL!🐻 Unlock Pets!🧠 MADE IN UEFN/CREATIVE 2.0🧠,Teen / 12,"tycoon, just for fun, simulator, casual, "
156,Party Game,Pit - Custom Weapons,"🔫 11 Custom Weapons + All Weapons💾 Ranked System & All Progress Saves🛠️ Builds Reset Every 15 min📀 Spend Gold On Weapons, Powers, and Events📈 Vote For New Custom Weapons🧠 MADE IN UEFN & WEEKLY UPDATES",Teen / 12,"free for all, practice, pvp, respawn, "
159,Zonewars,Sneakers Tycoon 👟,Build your Giant Sneaker Factory 👟Have all the Most Famous Sneakers 👑Wear custom sneakers 🖌Super Powers! 🦸‍♂Unlock GOD Mode 🔓Play basketball to earn even more money! 🏀Sneakers cars! 🛼,Teen / 12,"simulator, tycoon, casual, just for fun, "
161,Zonewars,🚀AMONG GUN GAME🎯ONE SHOT,🚀Amazing Spaceship🔫 9 Custom Weapons✅Most Fun EVER💥One Shot Eliminations🏆Ranked System💾 Eliminations and Ranks Save🚨Become The Best Among 12 Players🚨,Teen / 12,"gun game, just for fun, free for all, one shot, "
164,Zonewars,🦸🏻‍♂️SUPER GUN GAME 🔫NEON ONE SHOT 🌌,🔫 INFINITY GUN GAME WITH ALL WEAPONS 🆕🏙 TILTED TOWERS🎯ONESHOT❓FIND SECRETS⭐️MEGA FUN WITH FRIENDS🏆TRY TO HIT UNREAL AND BECOME THE BEST AMONG 16 PLAYERS🔥USE ADVANCED FEATURES🦸UNLOCK SUPER-POWERS,Teen / 12,"one shot, gun game, free for all, sniper, "
166,Zonewars,HAUNTED ESCAPE 4,😨 HORROR 😨💀 JUMPSCARES 💀😅 FUN 😅⭐ UEFN MADE ⭐👻 1-12 PLAYERS 👻🧩 ESCAPE 🧩,Teen / 12,"horror, escape, party game, survival horror, "
167,Zonewars,99 BOTS OG ROYALE 🏆,99 Bots🤖All Weapons🔫Tilted and Greasy!🏠Play With Friends😂Mega Reward In 20 Minutes🔑EPIC BOSS FIGHT COMING SOON!Made In UEFN 2.0,Teen / 7,"creatures, pve, open world, boss battle, "
170,Tycoon,TOWER TYCOON 🗼,🗼Build The Highest Tower 🗼👑 Become A Billionaire 👑💥 Customize Your Tower 💥🛠️ Build Floors 🛠️🧠 Made in UEFN & Verse 🧠,Teen / 7,"tycoon, just for fun, simulator, casual, "
171,Tycoon,32 Player Zone Wars,🔄 Competitive Loot Pool🏆 Placement Points👥 2 to 32 Players,Teen / 12,"zonewars, practice, competitive, solo, "
172,Tycoon,Reality simulator حياة واقعية,king city 2.0 Reality simulatorكنق ستي للحياة الواقعية,Teen / 12,"driver simulator, role playing, race, open world, "
173,Tycoon,🎯SNIPER QUICKSCOPE ONE SHOT⭐TILTED PARK,🎯All Snipers⭐One Shot🥇Quick Scope and No Scope for extra gold!🏆Ranks that SAVE!🎈Low gravity fast paced FFA✅Most fun Sniper one shot on Tilted Towers/Pleasant Park hybrid map,Teen / 7,"sniper, free for all, one shot, pvp, "
174,Tycoon,School Tag -学校鬼ごっこ-,English/日本語Tag / 鬼ごっこParkour / パルクール,Teen / 12,"casual, just for fun, parkour, "
176,Tycoon,MILLIONAIRE TYCOON ⭐,Become A Millionaire 💰Eliminate NPCs' 🎯Claim Pets & Hats 🐾Build Your MEGA Mansion 🏠REBIRTH For EXTRA Rewards ✅Can You Find The Hidden God Mode Power 🤔LEVELS & REBIRTHS SAVE PROGRESS 💾,Teen / 12,"tycoon, simulator, casual, just for fun, "
177,Tycoon,Brawl Stars [🏹New Update🌵],🗡️ Fight with your brawler.👥 Takedown your enemies.🎟​ Earn credits and buy brawlers with them..🏆 Play the game and earn trophies to show off✨THANKS FOR PLAYING✨,Teen / 12,"team deathmatch, strategy, casual, "
178,Team Deathmatch,🏨 Hotel Tycoon,🏨 Build The Craziest Hotel!💻 Sell Hotel Rooms on the PC📈 Buy Upgrades in the Stores🚗 Unlock Luxury Cars⭐ Discover New Hotel Floors🐵 Fight the Monkey Boss🤯 Can you Reach the Top?,Teen / 7,"casual, just for fun, simulator, tycoon, "
179,Team Deathmatch,Wallmart Sniper vs Props,Sniper:🎯Eliminate the props🎯🛡️Protect the sniper with a crown🛡️Props:⛺Reach the sniper hideout⛺🎯Eliminate the original sniper🎯🔴Stop moving on red light🔴🟢Move during green light🟢,Teen / 7,"sniper, minigame, party game, prop hunt, "
180,Team Deathmatch,SPEED REALISTICS 1v1 [RAPID],THE BEST SOLO FIGHTING PRACTICE✔0 WAIT TIME✔WEAPON VOTING✔REALISTIC FIGHTS✔UPDATED LOOTPOOL✔LEADERBOARD UPDATESFIND OPPONENTS THROUGH MATCHMAKING,Teen / 12,"1v1, practice, boxfight, training, "
181,Team Deathmatch,YouTuber Tycoon 🎬,👑 Become the Most Famous Youtuber🔴 Record videos to grow your Channel🎬 Giant Studio & Streamer Setups💻 Upgrades computer to edit videos faster🎥 Hire Expert Editors & Pro Players🚀 Boost Wi-Fi for Speedy Uploads,Teen / 7,"tycoon, casual, simulator, just for fun, "
184,Team Deathmatch,😂 HILARIOUS BOXFIGHTS 📦,📦 Funny Box Fight with HILARIOUS Super Powers!💀 30 Unique Meme Super Powers!🤵 Sigma - Blind Opponents With Your Aura!🏀Thomas - Spawn Thomas the Train!🧌Shrek - Spawn in a Hut When Low!👨Chad - Become a Chad!and 26 more ...,Teen / 7,"boxfight, pvp, practice, heroes, "
185,Team Deathmatch,MONSTERS ESCAPE ROOM,🚪 MONSTERS ESCAPE ROOM 🚪🧩 Easy & Medium & Hard👥 1 - 12 Players🎈 Lots of fun🧠 Made in UEFN 🧠,Teen / 12,"escape, minigame, party game, just for fun, "
186,Team Deathmatch,INSIDE OUT OBBY PARKOUR,🌈 Inside Out Obby Parkour Adventure🌀 Over 100 Emotion-Filled Stages💥 Jump! Swing! Slide!🔍 Uncover Hidden Secrets⏳ Test Your Agility😱 Can You Conquer All Emotional Challenges?,Teen / 12,"minigame, parkour, just for fun, deathrun, "
187,1v1,Dirt Bike Riders 2.0,"Welcome to Dirt Bike Riders 2.0Try out the freestyle compound, race around the dirt bike tracks and take on the clock with individual lap timers. Or hit the huge freeride jumps that surround the map! There is a ton to do so go shred some dirt!",Everyone 10+ / 7,"race, sports, exploration, just for fun, "
188,1v1,HEROES TYCOON 🦸,🦸 Become the Strongest Superhero Of All Time💥 Buy All 7 Superpowers⚡ Unlock the Power of THOR💪 Activate the God Mode🏠 Build your Super Mansion🚗 Buy Supercars😈 Kill The Villain,Teen / 7,"tycoon, just for fun, creatures, simulator, "
189,1v1,ZOMBIE FARM 2.33🧟,⭐ 2.32 UPDATE ⭐- Added Many New Weapons- Much Great Things Added- Increased Overall Amazingness🧟Zombie Survival🧟🚜🌾Explore the Farm🏠🌽1-5 Players,Teen / 12,"creatures, survival, pve, survival horror, "
191,1v1,ULTIMATE RAMP JUMP 🚀,🛩️Fly over the map🚗All vehicles enabled⚡Unlock speed levels🚩Can you reach the end?,Teen / 12,"race, just for fun, runner, deathrun, "
192,1v1,DUO ESCAPE ROOM,🗝️ 20+ Fun Levels of escape rooms with your Duo!🧩 Easy & Medium👥 Coop with your Duo!🎈 Lots of fun📂Location saved so you can return and continue your game!🧠 Made in UEFN 🧠,Teen / 12,"duo, escape, party game, co-op, "
193,1v1,DETECTIVE TYCOON 🔍,💾 FULL Savings Enabled!⭐ Custom Leveling System!🧢 Unlock Different Custom Hats & Back Blings!❓Can You Find All The Hidden Numbers To The Pincode?🔍Rank Up As A Detective!🚁Unlock The Helicopter!🔁 Rebirth To Unlock New Rewards!,Teen / 7,"tycoon, simulator, casual, just for fun, "
194,1v1,SNIPER ONE SHOT [FFA]🎯,🎯 Scope Mid-Air🌑 Low Gravity💥 Instant Respawn👥 16 Players💾 Ranks Save🌎 Global Ranked Leaderboard🏆 RANK UP (BRONZE -> UNREAL),Teen / 12,"sniper, one shot, party game, free for all, "
195,1v1,🚓 DRIVE NATION RP,"🚓 NEW POLICE CARS WITH LIGHTS AND SIREN!🏍️ ALL VEHICLES!🔋 INFINITE BOOST!🏁 PVP RACES!🌍 HUGE OPEN WORLD!😎 CHILL CRUISING AND ROLEPLAY!💯 SPEED TRAPS, BONUS BOARDS & SECRETS!🧠 MADE IN UEFN/CREATIVE 2.0",Everyone / 3,"just for fun, open world, casual, race, "
196,1v1,🍿CINEMA TYCOON🍿,🍿Build Your Dream Cinema!🎬 Watch Movies with Friends❓Find All the Secrets🚗Drive Dream Cars🐾Unlock Cool Pets💾 Rebirth and Re-Play FOREVER!,Teen / 7,"casual, just for fun, tycoon, simulator, "
197,Open World,Realistic FPS Gun Game ∞,📷 Hyper Realistic Bodycam First Person🔁 Fast Custom Rounds👑 First to 20 Wins🔫 8 Player FFA Gun Game🎵 In Collaboration with Odetari (V1.1 Balance Adjustments),Teen / 12,"pvp, gun game, free for all, "
200,Open World,111 ESCAPE ROOM,🗝️ 111 Levels Escape Room🔎 11 Easter Eggs🧩 Easy & Medium👥 1 - 10 Players🎈 Lots of fun📂Location saved so you can return and continue your game!🧠 Made in UEFN 🧠,Teen / 7,"escape, minigame, party game, just for fun, "
201,Open World,ESCAPE ROOM 100 LEVELS,🧩 100 Levels To Complete 🧩🧩 Play With Friends 🧩🧩 Super Fun 🧩🏆 Finish First 🏆,Everyone 10+ / 7,"escape, party game, just for fun, minigame, "
202,Open World,Poppy Playtime: Chapter 3,😨 HORROR 😨⭐ UEFN ⭐🎮 1-4 PLAYERS 🎮🤯 ESCAPE 🤯☠️ JUMPSCARES ☠️,Teen / 12,"horror, survival horror, escape, mystery, "
203,Open World,Default Parkour 375+,🤯 375+ EASY Levels🏃‍♂️ Run! Slide! Climb!🕵️ Discover Secrets🕒 Challenge Your Speed😲 Will You Reach the FINAL Challenge?Explore 375+ EASY Levels!Can You Uncover Every Secret?Created by Omega Creations,Teen / 12,"parkour, deathrun, just for fun, escape, "
204,Open World,The Floor Is LAVA🔥,"Survive the rushing lava on 16 different maps! 🔥Climb as high as possible to save yourself from the lava before time runs out! 🙌Unlock cool power-ups, Pets, cosmetics and gear by winning and collecting coins! 🏆Obby & many other skill challenges🏃‍♀️",Teen / 12,"parkour, deathrun, escape, minigame, "
206,Open World,STRANGER [HORROR],"A cold chill goes down my spine...You are delivering packages late at night, but you feel someone's presence following you.📍Made in UEFN📍1 - 2 Players📍Guide on Youtube (ItsBlind)",Teen / 12,"horror, escape, mystery, survival horror, "
207,PvP,🌄 The Mountain Road 🌄,🧠 UEFN🔫 All Weapons📍 Endless Road🌎 Huge Open World🚨 Unlimited Fuel & Boost🌀 Unlimited Player Energy & x2 Player Sprint🚗 Multiple Set Of Vehicles,Teen / 12,"race, open world, just for fun, free for all, "
208,PvP,MESSI VS RONALDO 🔥,🏆Team VS Team🔫Every WeaponPOWERUPS🔥✨All Mythics🆕New Season Guns🚗Vehicles Added,Teen / 12,"action, team deathmatch, battle, just for fun, "
209,PvP,2 IN 1 ESCAPE ROOM,🗝️ Escape Room de 100 niveles🧩 Fácil y Difícil👥 1 - 16 jugadores🎈 Mucha diversión,Teen / 12,"escape, minigame, party game, funny, "
210,PvP,99 BOTS OG RELOAD BOT ROYALE 🏆,99 Bots🤖All Weapons🔫Tilted Towers🏠Play With Friends😂Mega Reward In 20 Minutes🔑Like & Favorite To Support Me💖Made In UEFN 2.0🧠,Teen / 12,"boss battle, creatures, open world, role playing, "
211,PvP,FNAF SCARY SURVIVAL🐻🍕,🧸Be FREDDY FAZBEAR!😱JUMPSCARES🐻10 ANIMATRONICS🐰🎮SCARE YOUR FRIENDS!👥2-6 PLAYERS🆕COINS UPDATE!- Added Level Up Coins📀- GOLD is now SAVED📀- Fixed Puppet bugMade in UEFN🔦,Teen / 12,"survival, horror, escape, infection, "
212,PvP,HORROR BACKROOMS SURVIVAL,"Try to survive 100 days against backrooms monsters, earn gold, buy weapons and power-up, and face a final boss.",Teen / 12,"horror, creatures, party game, survival, "
213,PvP,BRAWL SHOWDOWN🌵,🏆8 Players Zone Wars🏆🚀Superpowers based on Brawlers🚀💯New updates every week💯🔥Enjoy🔥,Teen / 12,"minigame, battle, survival, free for all, "
214,PvP,Default Obby Parkour 500+,"🤩 511 Level Parkour🏃 Speedrun With Friends🧠 Made With Verse/UEFN✨ Constantly UpdatedDisclaimer: This is not sponsored, endorsed, or administered by The Walt Disney Company",Teen / 7,"parkour, deathrun, just for fun, difficulty: easy, "
215,PvP,MUSHROOM TYCOON 🍄,"X1.5 EVENT is here!👑Build the best Mushroom Base 🍄📦Collect treasure chests on the map🔥Beat 2 parkour challenges!🐾Different pets, Boosts and Trails💜Find all the secret",Teen / 12,"just for fun, tycoon, simulator, casual, "
216,PvP,🚀+1 Jump Every Second!🚀,🚀Every Second You Get +1 Jump💰Earn Diamonds To Jump Higher!🐶 🐱Get Pets!🌎Very Large Walls to Climb!,Everyone / 3,"just for fun, simulator, tycoon, funny, "
218,Just For Fun,EMOTES RED VS BLUE 🔴🔵,🕺 Custom UEFN Emotes🔫 All Weapons🔥 Ranked🆕 CHAPTER 5 WEAPONS💾 AUTO SAVE ProgressMade In UEFN. 🧩,Teen / 12,"team deathmatch, practice, pvp, competitive, "
219,Just For Fun,Impossible Escape 🚨,🚨 99% Impossible Escape🗝️ 30 Levels🔎 5 Easter Eggs🧩 Easy & Medium & Hard👥 1 - 12 Players🎈 Lots of fun🧠 Made in UEFN 🧠,Everyone 10+ / 7,"escape, party game, minigame, just for fun, "
220,Just For Fun,💖DEFAULT PARKOUR 250+💖,⭐250+Levels⭐Easy Default⭐Play With Friend⭐Made In UEFN,Teen / 7,"deathrun, parkour, difficulty: easy, just for fun, "
221,Just For Fun,MEGA MALL PROP HUNT🛍️,⚱️Prop VS Seeker🕵🏻 👪2-30 players👪 🏙️Inside MEGA MALL🏙️ 🔍Find and Eliminate the Props Before Time Runs Out🔍,Teen / 12,"prop hunt, minigame, party game, just for fun, "
222,Just For Fun,Body Cam,First Person Body CamGet on the leaderboard!Score SavesGold SavesPurchase weaponsSupply DropsElimination Streaks,Teen / 12,"free for all, pvp, "
223,Just For Fun,SNIPER VS BIKERS,Up to 15 Bikers / 1 Sniper 🏆Reach the End as the Bikers! 🏍️Eliminate All Bikers as the Sniper! 🎯Enjoy with your friends and have fun! 🎮,Teen / 12,"minigame, sniper, party game, just for fun, "
224,Just For Fun,FNAF NIGHTMARE SURVIVAL🐻🌙,🧸 Be NIGHTMARE FOXY & MORE!😱 JUMPSCARES🐻 9 ANIMATRONICS 🐰🎮 SCARE YOUR FRIENDS!👥 2-8 PLAYERS🆕 NIGHTMARE FOXY UPDATE 🦊- FNAF 4 HOUSE 🏠- Weekly Updates are BACK!🔦 Made in UEFN📝 Bugs? @CreativeGoblinn,Teen / 12,"survival, horror, escape, survival horror, "
225,Just For Fun,🦸 HEROES ZOMBIELAND 🧟‍♂️,🧟‍♂️ Endless hordes of Zombies! 🧟‍♂️🦸 Level up and gain powers! 🦸🚗Run over Zombies in Cars or Tanks!🚗Lots of upgrades!Custom UI,Teen / 7,"creatures, horror, survival, pve, "
226,Just For Fun,[HORROR] SCARY ELEVATOR,😨 Can you SURVIVE the SCARY ELEVATOR?💥 11+ CRAZY LEVELS💸 PURCHASE ABILITIES😈 JUMPSCARES🧩 ESCAPE🎮 1-12 Players🆕 NEW LEVELS ADDED EVERY WEEK!,Teen / 12,"horror, escape, party game, just for fun, "
227,Boxfight,💯 RЕD VS ВLUE 🥶 RUMBLE,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🔒 OP Vault🚽 1st Person Mode💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, battle, action, exploration, "
229,Boxfight,MEME BACKROOMS,🤣 CAN YOU SURVIVE FROM THE MEMES?🐲 6 DIFFERENT MEME BOSS BATTLES!🤓 30+ MEMES AND SOUNDS🔫 CUSTOM WEAPONS🛒 UNIQUE COSMETIC SHOP🤫 DISCOVER ALL THE SECRETS😱 HORROR,Teen / 12,"horror, survival, creatures, pve, "
230,Boxfight,CAM,8 Player Realistic Bodycam FFARanksElimination StreaksFirst to 25 Eliminations,Teen / 12,"free for all, pvp, "
231,Boxfight,MISSION IMPOSSIBLE DEATHRUN 💎,"🚨 20+ DIFFICULT Levels🚘 Stunt DRIVING🔥 Go STEALTHILY, FIGHT Guards, Dodge LASERS🏃‍♂️ Sprint! Slide! Climb!🏆 Leaderboard🧠 Made In UEFN/Verse✨ Updated ✨",Teen / 12,"just for fun, deathrun, parkour, difficulty: easy, "
232,Boxfight,COLOR HIDE AND SEEK,🌈 8 COLOR MAPS WITH DIFFERENT THEMES⏲️ Quick games👗 Changing booth to help hide!🥇 RANKING SYSTEMWe used this map in a few videos and we've made it better since,Teen / 12,"just for fun, minigame, party game, role playing, "
233,Boxfight,TOY BOX FFA - ALL WEAPONS 1v1,"Free-4-All with ALL Weapons & Items EVER in Fortnite. Fight, or 1v1 on Private Build Bases or Create your own Races. The possibilities are endless in T0Y B0X FFA!1v1 ALL NEW CHAPTER 5 ITEMS in a Open Sandbox Pit.",Teen / 12,"1v1, practice, pvp, "
234,Boxfight,🥵RED VS BLUE🥶 TEAM DEATHMATCH,🥵NO BUILD TEAM DEATHMATCH🥶👑CUSTOM RANK SYSTEM👑🦸SUPERPOWERS🦸😈YOUR ELIMINATIONS ARE SAVED😈🔫NEW WEAPONS ADDED🔫😀FUN TO PLAY😀,Teen / 12,"team deathmatch, pvp, action, practice, "
236,Boxfight,⭐️MEDALLION PIT,"🎖5 Different Medallions🚀NEW WEAPONS🚀🏛Rank system auto saved⛽️Power ups, Exotics, Mythics🧠Made in UEFN🗨Stats board",Teen / 12,"sniper, free for all, just for fun, pvp, "
239,Free For All,🚓 DIAMOND CITY 🏙️ FFA 🚨,"🏙️VERY DETAILED CITY🏙️🏢APARTMENTS AND VILLA🏠🔫ALL WEAPONS💣🚁HELICOPTERS, LUXURY CARS, MOTO, TANKS, ETC...🚗🎁BIG SECRET🎁🧠MADE IN UEFN/CREATIVE 2.0🧠💥Have FUN !💥",Teen / 12,"open world, just for fun, free for all, role playing, "
240,Free For All,🚀+1 JUMP EVERY SECOND! (Brick Edition),🚀Every Second You Get +1 Jump💰Earn Diamonds To Jump Higher!🐶 🐱Get Pets!🌎Very Large Walls to Climb!,Everyone / 3,"just for fun, simulator, tycoon, funny, "
241,Free For All,The Color Switch,Survive as long as possible in this crazy game !🌈 CLASSIC MODE 🌈☄️ APOCALYPSE MODE ☄️⏰ SPEED-UP MODE ⏰🏪 SHOP 🏪⚔️ RANDOM ITEMS ⚔️,Teen / 12,"free for all, minigame, pvp, just for fun, "
242,Free For All,ESCAPE FROM SCHOOL 🏫,🏫 Escape from Shool 🏫🗝️ 30 Levels Escape Room🧩 Easy & Medium👥 1 - 12 Players🎈 Lots of fun🧠 Made in UEFN 🧠,Everyone 10+ / 3,"escape, minigame, party game, just for fun, "
243,Free For All,99 BOTS SEASON 3 BOT ROYALE 🏆,99 Bots🤖All Weapons🔫Tilted Towers🏠Play With Friends😂Mega Reward In 20 Minutes🔑Like & Favorite To Support Me💖Made In UEFN 2.0🧠,Teen / 12,"boss battle, creatures, open world, role playing, "
245,Free For All,Sooubway Prop Hunt 🥪,"🏦 Props vs Hunters🔎 Find secret vents, rooms and buttons🔈 Custom Meme Sounds⭐Quests with Rewards🏦 Inside Famous Sooubway🔍👥 2-12 Players✔️ Creative 2.0 / UEFN🆕 Constantly Updated❗Credits to lbigdawg for map inspiration",Teen / 12,"prop hunt, party game, just for fun, minigame, "
246,Free For All,👑 SIGMA BOXFIGHTS 📦,🎮 Play as Your Favorite Sigma18 Unique Sigma Powers:👑 KING BALDWIN - Freeze All Players with Hand⛓️JOE GOLDBERG - Cage the Nearest Player🦸GOGGINS - Phase Through Walls⏰ELON MUSK - Travel Back in Timeand so much more!,Teen / 7,"boxfight, pvp, practice, heroes, "
247,Free For All,🧟‍♀️ ZOMBIELAND 2 🧟‍♂️,❗BIG UPDATE v5.2 - THE SUMMER APOCALYPSE 📢🔫 NEW WEAPONS 🔫💥 3 NEW LOCATIONS 💥🪐 NEW SECRETS ON THE MAP 🪐🧟 LISTEN MUSIC AND DESTROY ZOMBIES 🧟AND ALOT MORE+ 😎🧟‍♀ BATTLE ZOMBIES⭐ BECOME RICH🕸 Made in UEFN - Creative 2.0,Teen / 12,"creatures, survival horror, just for fun, pve, "
249,Tycoon,⭐CUSTOM WEAPONS🔫 GUN GAME,⚔️9 CUSTOM WEAPONS⚔️🏙️TILTED GUN GAME🏙️🎯ONESHOT🎯🏆RANK UP TO UNREAL🏆⭐COMPLETE QUESTS⭐😎SUPER FUN😎♻️UPDATED!♻️🎉BECOME THE BEST AMONG 16 PLAYERS🎉,Teen / 12,"pvp, free for all, just for fun, gun game, "
250,Tycoon,TRADER TYCOON 📈,💾 Progress Fully Save !👑 Become the King🧱 Create Your Own Wall Street🚗 Drive Supercars🔄 REBIRTH !🚁 Hire Traders📈 Earn Reward With Playtime !➕ Increase your Money Bonus- MADE IN UEFN/CREATIVE 2.0,Teen / 12,"tycoon, just for fun, simulator, casual, "
251,Tycoon,🚗Unrealistic Driving Island,🗺️ 4x4 km Open world map🔫 CH5 S3 weapons and vehicles FFA🔍 Collect items scattered around the island🏎️ Finding hidden Octane scattered around.⛽ Unlimited fuel and boost.🚗 Enjoy driving with friends.,Teen / 12,"open world, race, driver simulator, free for all, "
258,Tycoon,🎨 Fortionary ❓ (Pictionary),✅ Pick Your Word🎨 Start Drawing❓ Make Your Guess🎤 Mic Not Required🆕 350+ Words,Everyone / 3,"minigame, party game, just for fun, casual, "
260,Zonewars,🔫THE SHARK GUN GAME🎯ONE SHOT🎯,"👥 16 PLAYERS🔫 USE THE NEW ITEMS🎯 PRACTICE YOUR AIM👍 Get a New Weapon at Every Elimination You Get, the More Eliminations the Harder it Gets!👑 Be The First to Finish All Weapons!🧠 Made in UEFN🆕 NEW UPDATES",Teen / 12,"gun game, one shot, free for all, pvp, "
261,Zonewars,🎯ONE SHOT GUN GAME ⚔️ AIM,⚔️PVP/PVE⚔️⭐QUESTS⭐❓SECRETS❓🔫INFINITE WEAPONS🔁ENDLESS ROUNDS⏰INFINITE TIME🥳ENDLESS FUN🎯TRAIN YOUR AIM🕶️FIGHT THE BOTS🎉BECOME THE BEST AMONG 12 PLAYERS🎉,Teen / 12,"gun game, one shot, pvp, training, "
262,Zonewars,A Dusty Trip 🚗,A Dusty Trip in Fortnite!FIRST PERSON MODE!Build Your Own Car 🚘Start Your Dusty Trip 🛣️New Plains Biome!Make it to the END! 🏁,Teen / 12,"just for fun, driver simulator, co-op, adventure, "
263,Zonewars,TEDDY,"⭐ NOW UEFN!😱 6 Survivors, 1 Hunter - TEDDY 🐻🔐 Find the Keys, Unlock Doors🕒 Escape from Teddy before time runs out",Teen / 12,"escape, just for fun, party game, role playing, "
264,Zonewars,THE GRAVEYARD [HORROR],😨 HORROR 😨⭐ UEFN ⭐🎮 1-5 PLAYERS 🎮🧩 ESCAPE 🧩☠️ JUMPSCARES ☠️,Teen / 12,"horror, survival horror, deathrun, escape, "
265,Zonewars,PANDVIL Box Fight (2v2) 📦,"🔸🟢Made By PANDVIL🔸(2 vs 2) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, duo, 2v2,"
267,Zonewars,PANDVIL Box Fight (3v3) 📦,"🔸🟢Made By PANDVIL🔸(4 vs 4) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, trios, 3v3, "
268,Zonewars,PAL TYCOON 💎,- Mining & Harvesting 💎- Claim Pets 🐶- Earn Keys 🔑- Keys Increase Production 📈- Keys are saved ✅- Boss Battle 💥Replayable Tycoon! 🔁,Teen / 12,"tycoon, simulator, boss battle, casual, "
269,Zonewars,🐐 GO GOATED! Combat💥,🐐 4 Team Combat 🐐💥 PvP Respawn 💥🔄 Respawn Enabled 🔄💀 Unlock the Vault 💀👥Select Your Team👥💾 Stats Save 💾,Teen / 12,"team deathmatch, respawn, "
270,Simulator,Gacha PvP Battle -ガチャ乱闘場-,Draw Gachas and Get Weapons /ガチャを引いて武器をゲット!Get coins by Eliminating Player /敵を倒してコインをゲット!,Teen / 12,"battle, battle royale, pvp, "
271,Simulator,1v1 With Every Gun 🔫,❌ No Locked or Paid Mythics✔️ All Weapons Available Without Waiting👤 24 Player Free-For-All🚁 Fun Vehicles💾 Loadout & Eliminations Save🆕 Updated Weekly,Teen / 12,"free for all, practice, pvp, respawn, "
